category_id,category
1,food/food trucks
2,music/rock
3,technology/web
4,theater/plays
5,film & video/documentary
6,music/electric music
7,film & video/drama
8,music/indie rock
9,technology/wearables
10,publishing/nonfiction
11,film & video/animation
12,games/video games
13,film & video/shorts
14,publishing/fiction
15,photography/photography books
16,publishing/radio & podcasts
17,music/metal
18,music/jazz
19,publishing/translations
20,film & video/television
21,games/mobile games
22,music/world music
23,film & video/science fiction
24,journalism/audio
